layer,U_PU,U_I,gap_PU_minus_I
0,0.5711907332989442,0.3906151778430903,0.1805755554558539
1,0.6235743373527953,0.4666256208814003,0.15694871647139502
2,0.6434767541152351,0.4610155091995163,0.1824612449157188
3,0.6826419191447939,0.44168291815939176,0.24095900098540213
4,0.7501469134052523,0.4996951007008669,0.2504518127043854
5,0.7555381689995242,0.5026273958494507,0.2529107731500735
6,0.7908739037812197,0.5407620066987087,0.250111897082511
7,0.8015865109719218,0.5906125756208455,0.21097393535107634
8,0.8072308879983671,0.588785350708259,0.21844553729010807
9,0.8067055295764638,0.6051369215007156,0.20156860807574817
10,0.7957546890907399,0.5834963471178604,0.21225834197287952
11,0.8130862344346873,0.6300416076380317,0.18304462679665556
12,0.7964457855053154,0.619097431883486,0.17734835362182944
13,0.7843266927279449,0.6211475998134699,0.16317909291447497
14,0.7787742484660544,0.6218970066589572,0.15687724180709717
15,0.7796716252244847,0.6459479556356447,0.13372366958884008
16,0.7820652081038257,0.6671232948119182,0.1149419132919075
