layer,U_PU,U_I,gap_PU_minus_I
0,0.5717116029427384,0.3905933872678632,0.18111821567487518
1,0.6209071806985543,0.4629736023694664,0.15793357832908794
2,0.6387197567202213,0.45464587976195747,0.18407387695826383
3,0.6777273821807643,0.4350027010546147,0.24272468112614964
4,0.7488733416835536,0.5153803745554302,0.2334929671281234
5,0.7535916962668358,0.5148541492865742,0.2387375469802615
6,0.7894701808540999,0.5671853244387867,0.22228485641531326
7,0.8016665366952577,0.5981355620246667,0.203530974670591
8,0.8009628299538983,0.6024274687098599,0.19853536124403848
9,0.8030099785759781,0.6263783455536591,0.176631633022319
10,0.7929384735147209,0.6007744707241389,0.192164002790582
11,0.8138813698114125,0.6415964586380571,0.17228491117335532
12,0.7928657536299987,0.6189311170314907,0.17393463659850794
13,0.7793668983572305,0.6229765772583812,0.15639032109884932
14,0.7751684747901905,0.6267788749516396,0.14838959983855082
15,0.7753848371480111,0.6521344081523794,0.12325042899563166
16,0.7741405191511561,0.6653749516789098,0.1087655674722463
