layer,U_PU,U_I,gap_PU_minus_I
0,0.5717116029427384,0.3905933872678632,0.18111821567487518
1,0.6202588601716301,0.4622156623236149,0.15804319784801524
2,0.63676969576264,0.4559955674375744,0.18077412832506556
3,0.6733864908142293,0.437012401832593,0.2363740889816363
4,0.7461856684375365,0.5044571880396385,0.24172848039789807
5,0.7518558348366288,0.5104595639929009,0.24139627084372783
6,0.7918032344400064,0.548984230164751,0.2428190042752555
7,0.8025810278889158,0.5858718311273191,0.21670919676159672
8,0.8091641317600716,0.5768172799002625,0.23234685185980908
9,0.8107190688427622,0.5946390075574848,0.21608006128527746
10,0.8022967462715002,0.5737711637942531,0.22852558247724708
11,0.8186575677002446,0.6189746553235704,0.19968291237667413
12,0.7986087572415699,0.5981645286247627,0.20044422861680722
13,0.7868815747968825,0.5993794555751576,0.18750211922172488
14,0.7823943054974773,0.604152940629856,0.17824136486762132
15,0.783683070661883,0.6293085388195068,0.15437453184237626
16,0.7817216467493571,0.6463305713378519,0.1353910754115052
