layer,U_PU,U_I,gap_PU_minus_I
0,0.528842970310549,0.3790536367433804,0.14978933356716867
1,0.5659684412905148,0.39092919366747825,0.17503924762303658
2,0.5768625957836016,0.3991934588988915,0.17766913688471003
3,0.589922608869615,0.4215615778781586,0.16836103099145638
4,0.6232508344133586,0.40253127996559285,0.22071955444776575
5,0.6805294024838948,0.44879020601668945,0.23173919646720537
6,0.7158307325918258,0.4847076238204656,0.23112310877136022
7,0.729049820534246,0.4920710199864522,0.23697880054779386
8,0.7082169875127385,0.4309597918047877,0.2772571957079508
9,0.7007796948006795,0.40803210650145455,0.2927475882992249
10,0.7125575533673781,0.4164411395469926,0.29611641382038556
11,0.7245186861885706,0.46462227276602786,0.25989641342254277
12,0.7209338189827883,0.48646236138791943,0.23447145759486887
13,0.7229127393488458,0.48517582506201734,0.23773691428682847
14,0.732714643787461,0.49513944143652594,0.23757520235093504
15,0.7960936063563697,0.6659849646851872,0.13010864167118252
16,0.7864784205154965,0.6401143111828778,0.14636410933261879
17,0.7793353373034245,0.6190931720895811,0.16024216521384338
18,0.7609375265955938,0.5881983147688097,0.1727392118267841
19,0.7586829963793281,0.6101833746309167,0.14849962174841147
20,0.7592589707484997,0.6402426098603596,0.11901636088814005
21,0.7689806289672196,0.6544780551185652,0.11450257384865448
22,0.7658992714015124,0.6795118267369659,0.08638744466454651
23,0.7645742376869522,0.6750127052020537,0.08956153248489851
24,0.7008597317311754,0.5882097643939047,0.11264996733727073
