layer,U_PU,U_I,gap_PU_minus_I
0,0.528842970310549,0.3790536367433804,0.14978933356716867
1,0.5661802608917836,0.3909353485708184,0.17524491232096523
2,0.5764538202335,0.39919746047711757,0.17725635975638243
3,0.588712426067656,0.42270345252774355,0.1660089735399124
4,0.6214301781979242,0.40338141544767603,0.2180487627502482
5,0.6758677166246676,0.45037688984785723,0.22549082677681037
6,0.7119644416298363,0.48053161811313355,0.23143282351670275
7,0.7246485194313635,0.48758672200731323,0.2370617974240503
8,0.7041926700786886,0.43056989868150486,0.2736227713971837
9,0.6966511607845624,0.40833415555363917,0.2883170052309232
10,0.7090258950650377,0.41494058599028777,0.2940853090747499
11,0.7195158609923603,0.46118993012095955,0.25832593087140077
12,0.7223919764294985,0.4754134157730135,0.246978560656485
13,0.7242811427894411,0.4690525053305821,0.255228637458859
14,0.733913928826586,0.47863662511336164,0.2552773037132244
15,0.8084331529871153,0.6139985147209436,0.1944346382661717
16,0.7939518539427179,0.5945052666446948,0.19944658729802311
17,0.785665068754928,0.5835069515035847,0.20215811725134336
18,0.7666340464340724,0.5553283727174596,0.2113056737166128
19,0.7657822149895808,0.5657357169230374,0.2000464980665434
20,0.7703113239711056,0.5967748541192011,0.17353646985190452
21,0.7735579527577876,0.6111986878531491,0.16235926490463848
22,0.7698208663660714,0.6411854150171682,0.1286354513489032
23,0.7689580446069275,0.6398151166005172,0.12914292800641036
24,0.7006115250187794,0.5696851300101136,0.13092639500866587
