layer,U_PU,U_I,gap_PU_minus_I
0,0.5275932464611643,0.3786796388446523,0.14891360761651207
1,0.566839946729864,0.3933583467881702,0.17348159994169382
2,0.578639839989534,0.40156153569864167,0.17707830429089239
3,0.5904896691014921,0.4238697313482791,0.16661993775321304
4,0.6236115515600068,0.40426179575236354,0.21934975580764327
5,0.6816951872113098,0.44971413362161394,0.2319810535896959
6,0.7138611837752877,0.4728060409103914,0.24105514286489632
7,0.7263340529398338,0.4789414865844419,0.24739256635539186
8,0.707866082692121,0.4256495099345667,0.28221657275755435
9,0.701252492312722,0.40395729547154596,0.29729519684117606
10,0.7139091730398952,0.4119602993681368,0.30194887367175843
11,0.7250522258556061,0.45878295498873095,0.2662692708668752
12,0.7226431660891296,0.47265736099389494,0.24998580509523466
13,0.7240152575498833,0.46855026662483273,0.25546499092505054
14,0.7320784447552032,0.47490083349074047,0.25717761126446276
15,0.7892316761136353,0.604770032835932,0.1844616432777033
16,0.78138232000591,0.5879219871934943,0.1934603328124157
17,0.7739639176412161,0.5787902715453948,0.19517364609582133
18,0.7556221731914847,0.5480979883209991,0.20752418487048563
19,0.7578129416853417,0.5620715541309547,0.19574138755438708
20,0.7590136103213471,0.5931508329610907,0.16586277736025634
21,0.7659558249880857,0.6067547308465066,0.15920109414157912
22,0.7626686156316083,0.6377379505952143,0.12493066503639394
23,0.7630754580967558,0.6380262673905693,0.12504919070618647
24,0.6903476468437668,0.5661566548561838,0.12419099198758299
